station_name,station_type,num_chargers,latitude,longitude
YYC-Station 1,Level 2,1,51.132852,-114.01066
YYC-Station 1,Level 2,1,51.132852,-114.01066
KRAMER CUSTOMER PARKIN,Level 2,2,50.948532,-114.068726
Wyndham Garden Calgary Airport,Level 2,1,51.140583,-114.026181
ENMAX STATION1,Level 2,2,50.973098,-113.954465
DRIVE THRU,Level 3,1,50.9495336,-113.9976947
Advantage Ford,Level 2,1,50.9379647289965,-114.06772808063
Deerfoot Inn and Casino,Level 2,4,50.94966,-113.982787
PRINCESS AUTO PAL 31 CAL STH,Level 2,2,50.949772,-113.977632
COOPEV CHARGING CROWFOOT,Level 3,2,51.12368,-114.19979
Vivo - East Entrance,Level 2,6,51.159657,-114.065574
AMA Crowfoot,Level 2,2,51.128373,-114.198202
Chevron - On The Run,Level 3,2,50.9532694543278,-113.957358995992
SWTCH Energy Inc.,Level 2,8,51.1512,-113.996
Country Hills Nissan - 1,Level 2 + Level 3,4,51.153838,-114.002738
SWTCH Energy Inc.,Level 2,4,51.1528,-113.996
PRINCESS AUTO PAL 04 CAL NRTH,Level 2,2,51.153071,-113.979599
7121 107 avenue SE,Level 2,1,50.958614,-113.929905
Straight-Up Metal Buildings Ltd,Level 2,7,50.9988746007639,-113.879650309749
Charlesglen Toyota,Level 2,2,51.152514,-114.193871
Walmart - Tesla Supercharger,Level 3,8,50.9308858632083,-113.964639874897
STONEYTRAIL OUTDOOR PARKING,Level 2,2,51.151889,-114.196984
COMPOST FACILIT COMPOSTING FACI,Level 2,2,50.943785,-113.933602
Royal Oak Nissan,Level 2,1,51.153652,-114.19546
Swtch Energy,Level 2,2,51.151167,-114.214301
BROADSTREET LIVINGSTON #3,Level 2,2,51.184288,-114.07264
South Trail Chrysler,Level 2,3,50.9276222796398,-113.944427064946
South Trail Kia,Level 2,2,50.9282320119769,-113.94246416103
South Trail Hyundai,Level 2,2,50.9282212446392,-113.940342400078
South Trail Nissan,Level 3,2,50.9282191771151,-113.937997085113
Silverado Shopping Centre,Level 2,2,50.8783558117677,-114.071985150502
P2P - Calgary Cross Iron Mills,Level 2 + Level 3,3,51.203525,-113.990167
Rocky View Supercharger,Level 3,8,51.204042,-113.989658
WESTMAN VILLAGE GW-2,Level 2,2,50.89797,-113.936151
WESTMAN VILLAGE,Level 2,4,50.896354,-113.938972
WESTMAN VILLAGE GW-1,Level 2,2,50.897129,-113.935614
WESTMAN VILLAGE PARKADE 1,Level 2,2,50.896636,-113.935093
WESTMAN VILLAGE WV PARKADE 2,Level 2,2,50.896581,-113.935103
WESTMAN VILLAGE MAHOGANY PATH,Level 2,2,50.896748,-113.93319
WESTMAN VILLAGE MAHOGANY PATH 2,Level 2,2,50.89662,-113.93324
WESTMAN VILLAGE ODYSSEY PARKADE,Level 2,2,50.896145,-113.9335
Petro-Canada EV Fast Charger,Level 3,2,51.209722,-113.9892579
First Capital Asset Management LP,Level 2,2,50.88032,-113.97855
Residence Inn,Level 2,2,50.88028293795556,-113.9558734539673
Seton Marriott – Lot #467,Level 2,4,50.879725,-113.955742
Royop Legacy Township,Level 2,4,50.864956,-114.032259
BROADSTREET MAHOGANY #5,Level 2,2,50.894422,-113.909937
Davis Chevrolet GMC Buick Ltd.,Level 3,2,51.287771,-113.999187
Davis Chevrolet,Level 2,2,51.288119,-113.998284
Best Western - Regency Inn,Level 2,1,51.290673,-114.002815
Holiday Inn Express & Suites Airdrie-Calgary North,Level 2,3,51.295673,-113.997998
Hampton Inn & Suites By Hilton Airdrie,Level 2,3,51.296012,-113.996556
Petro-Canada EV Fast Charger,Level 3,2,51.0874032,-114.4744614
Petro Canada 42148 AB-1,Level 3,4,51.0885616812902,-114.4745423164162
"Days Inn and Suites, Airdrie",Level 2,2,51.301112,-113.997597
Half Hitch Brewing Co,Level 2,1,51.183526,-114.454406
Innovation-Transit Hub Parking Lot,Level 2,4,51.188874,-114.471247
